n,p-or-m,type,seed,m,err-dm,err-es,time-brandes,time-dm,time-es
100,0.100000,random,94659366,504,8.851461e-25,2.600086e-27,0.001288,0.013263,0.002144
100,0.100000,random,3856698243,504,7.119438e-25,1.363941e-27,0.001779,0.009142,0.002515
100,0.100000,random,2151799700,495,7.606244e-25,3.180687e-27,0.001960,0.007218,0.003067
100,0.100000,random,651227508,543,4.998601e-25,5.736597e-27,0.001803,0.004599,0.002221
100,0.100000,random,2460953017,508,6.702588e-25,3.660315e-27,0.001151,0.004646,0.001740
100,0.100000,random,1412406837,507,5.917877e-25,4.064211e-27,0.001932,0.006368,0.003444
100,0.100000,random,2794388919,469,7.189631e-25,6.159426e-27,0.001097,0.004735,0.001681
100,0.100000,random,729121384,447,6.464780e-25,4.165186e-27,0.001440,0.006570,0.002238
100,0.100000,random,2086886272,514,7.466736e-25,3.367647e-27,0.002681,0.011678,0.003336
100,0.100000,random,3560797331,477,6.925883e-25,3.903284e-27,0.001770,0.016966,0.014244
300,0.100000,random,7953160,4510,9.874014e-24,1.038520e-25,0.013110,0.129384,0.012096
300,0.100000,random,2091954151,4413,8.938993e-24,9.526915e-26,0.012968,0.128924,0.010969
300,0.100000,random,2002230128,4557,1.025312e-23,1.374764e-25,0.013429,0.130103,0.014163
300,0.100000,random,3956406497,4406,5.965555e-24,1.227341e-25,0.013832,0.133972,0.013855
300,0.100000,random,1482826546,4477,1.208404e-23,1.232390e-25,0.012653,0.117702,0.011017
300,0.100000,random,3977470114,4497,1.057721e-23,1.040160e-25,0.013371,0.113674,0.011389
300,0.100000,random,3533838801,4433,1.499820e-23,1.186952e-25,0.012798,0.114481,0.012397
300,0.100000,random,58595694,4403,1.032012e-23,1.106172e-25,0.014988,0.116062,0.011652
300,0.100000,random,907028709,4336,9.368108e-24,1.079919e-25,0.012965,0.128557,0.013057
300,0.100000,random,3230040610,4426,1.003305e-23,1.239458e-25,0.013379,0.132233,0.012513
500,0.100000,random,79218021,12304,6.601824e-22,6.589576e-25,0.043375,0.623642,0.035876
500,0.100000,random,374821761,12637,6.899787e-22,5.963536e-25,0.043037,0.642770,0.033149
500,0.100000,random,3741315105,12407,6.494240e-22,5.931224e-25,0.043378,0.609378,0.034880
500,0.100000,random,3783834465,12593,6.861029e-22,5.793899e-25,0.041840,0.611292,0.032186
500,0.100000,random,86273569,12493,7.438068e-22,6.347238e-25,0.044933,0.668449,0.032870
500,0.100000,random,4110020497,12610,7.778614e-22,6.038257e-25,0.043022,0.670192,0.046390
500,0.100000,random,1117254867,12405,6.884835e-22,7.013668e-25,0.048418,0.639022,0.038293
100,0.200000,random,2130546885,982,2.799573e-25,3.231174e-27,0.003439,0.016382,0.006095
100,0.200000,random,1489600746,937,1.506567e-25,9.592549e-28,0.002344,0.012226,0.003154
100,0.200000,random,3691812536,961,2.731068e-25,1.776515e-27,0.002296,0.009045,0.001186
100,0.200000,random,512609551,951,2.574022e-25,2.189878e-27,0.001170,0.030452,0.003332
100,0.200000,random,2163516558,990,2.342917e-25,2.259298e-27,0.001592,0.009129,0.002624
100,0.200000,random,2169236359,947,1.972973e-25,2.082593e-27,0.002303,0.009081,0.001451
100,0.200000,random,3213401978,963,2.695916e-25,2.237210e-27,0.001980,0.007936,0.002683
500,0.100000,random,1434215231,12484,7.497360e-22,5.424334e-25,0.046802,0.607211,0.036798
100,0.200000,random,3961326052,973,2.385105e-25,1.962686e-27,0.002291,0.027279,0.002913
100,0.200000,random,420147311,990,2.301707e-25,1.820691e-27,0.001886,0.009612,0.002574
100,0.200000,random,4121225751,969,2.320135e-25,3.092335e-27,0.002520,0.036499,0.002212
500,0.100000,random,3424328258,12483,6.601126e-22,5.705547e-25,0.041662,0.581329,0.034909
300,0.200000,random,1803668590,9074,4.834650e-23,8.244543e-26,0.021444,0.132290,0.025509
500,0.100000,random,2629062297,12520,7.422643e-22,6.559284e-25,0.046108,0.620763,0.032892
300,0.200000,random,2488490052,9130,4.703504e-23,8.461638e-26,0.021400,0.128497,0.025999
300,0.200000,random,821908600,8983,4.948816e-23,9.148262e-26,0.021595,0.126514,0.028434
300,0.200000,random,3746847877,8921,4.874443e-23,9.511769e-26,0.021870,0.123509,0.025231
300,0.200000,random,1293102421,8996,4.710658e-23,1.015800e-25,0.021010,0.123762,0.029110
300,0.200000,random,3111636460,9030,4.221802e-23,7.239850e-26,0.022403,0.129911,0.027851
300,0.200000,random,1441073281,8926,4.415465e-23,7.522578e-26,0.020419,0.117840,0.028348
300,0.200000,random,2515728090,9006,4.264484e-23,1.093046e-25,0.020761,0.117940,0.029288
300,0.200000,random,2628369398,8788,4.063131e-23,9.612743e-26,0.020160,0.118241,0.024020
300,0.200000,random,2680210961,9056,4.293483e-23,8.123374e-26,0.022210,0.137860,0.032410
500,0.200000,random,1931128078,24806,3.134452e-21,5.769666e-25,0.095117,0.653514,0.137978
500,0.200000,random,1893177837,25059,3.894009e-21,5.462704e-25,0.098778,0.654568,0.135631
500,0.200000,random,2994514475,25154,3.477605e-21,5.355671e-25,0.093315,0.645377,0.148393
500,0.200000,random,3821307748,25008,3.793828e-21,5.545503e-25,0.099040,0.634835,0.135878
500,0.200000,random,334301865,24835,3.471971e-21,4.606443e-25,0.091295,0.607901,0.140810
500,0.200000,random,941777747,24860,3.638246e-21,4.921482e-25,0.093948,0.704475,0.142586
500,0.200000,random,2318993346,24692,3.246013e-21,6.272517e-25,0.095384,0.783996,0.133828
100,0.300000,random,4183103482,1508,1.706994e-24,1.792292e-27,0.001862,0.004988,0.002384
100,0.300000,random,1218057332,1460,1.418056e-24,2.489645e-27,0.005372,0.011275,0.005017
100,0.300000,random,3334675610,1453,2.115681e-24,1.451504e-27,0.003385,0.009275,0.006381
100,0.300000,random,2316989912,1505,1.429889e-24,2.350805e-27,0.003508,0.009543,0.002358
500,0.200000,random,2762913253,25079,3.874355e-21,4.824547e-25,0.096916,0.805171,0.175057
100,0.300000,random,3340807671,1441,1.329186e-24,1.640831e-27,0.005216,0.015363,0.004075
100,0.300000,random,1379245455,1534,1.600678e-24,2.593775e-27,0.001813,0.004826,0.002446
100,0.300000,random,2835115110,1437,1.514676e-24,1.401017e-27,0.018820,0.009457,0.005255
100,0.300000,random,4167706191,1466,1.455180e-24,2.309785e-27,0.002496,0.007054,0.003084
100,0.300000,random,1797429828,1524,2.322990e-24,2.022639e-27,0.002677,0.007091,0.005022
100,0.300000,random,2352821472,1510,1.604341e-24,1.792292e-27,0.002591,0.007221,0.003208
300,0.300000,random,1159992275,13368,7.592280e-23,7.315580e-26,0.036960,0.136260,0.062556
300,0.300000,random,4149126846,13494,5.922470e-23,7.815403e-26,0.042380,0.148710,0.089502
300,0.300000,random,648178618,13432,4.456218e-23,9.451185e-26,0.040883,0.140284,0.071854
300,0.300000,random,3541157175,13493,5.210470e-23,6.664297e-26,0.045028,0.147673,0.081627
500,0.200000,random,2119494943,25107,3.727529e-21,5.337496e-25,0.103710,0.683717,0.155351
500,0.200000,random,2805185734,24814,3.320638e-21,5.442509e-25,0.095546,0.677222,0.142837
300,0.300000,random,3126775995,13503,7.265598e-23,7.916377e-26,0.038086,0.129286,0.072102
300,0.300000,random,400069706,13519,4.137983e-23,7.350921e-26,0.040711,0.144432,0.077263
300,0.300000,random,3726433595,13471,6.411892e-23,6.972268e-26,0.037625,0.138214,0.080135
300,0.300000,random,3878185805,13579,5.606683e-23,8.067838e-26,0.040033,0.136794,0.071352
300,0.300000,random,807813316,13580,4.708336e-23,7.537724e-26,0.038776,0.142248,0.073721
300,0.300000,random,2793239503,13438,5.783868e-23,7.381214e-26,0.037323,0.137969,0.080713
500,0.300000,random,1489600865,37241,2.534888e-21,4.257072e-25,0.171390,0.655750,0.377764
500,0.300000,random,3657495759,37684,3.435044e-21,3.909721e-25,0.177301,0.674907,0.482838
500,0.300000,random,1635854494,37204,1.879256e-21,4.376222e-25,0.169899,0.689940,0.382539
500,0.300000,random,386955359,37185,2.916076e-21,4.442865e-25,0.167945,0.721147,0.426836
500,0.300000,random,1688907319,37289,3.029379e-21,4.184371e-25,0.173603,0.717361,0.409078
500,0.300000,random,940222010,37273,3.035300e-21,3.699695e-25,0.170844,0.717260,0.404236
500,0.300000,random,1043172561,37266,2.568823e-21,4.214663e-25,0.169005,0.710506,0.395857
100,0.400000,random,1454827847,1955,1.675276e-24,9.592549e-28,0.004892,0.010161,0.006152
100,0.400000,random,1908585757,1946,1.822237e-24,9.592549e-28,0.002443,0.005086,0.003338
100,0.400000,random,850078136,1995,1.567855e-24,1.025519e-27,0.002619,0.008275,0.003832
100,0.400000,random,1740181555,2008,1.900438e-24,1.110716e-27,0.002799,0.005176,0.004783
500,0.300000,random,2684857427,37431,2.891056e-21,4.125806e-25,0.173024,0.648247,0.426279
100,0.400000,random,519104836,2064,1.473472e-24,9.497885e-28,0.005596,0.010287,0.008122
