name,n,k,seed,mode,err,time-proposed,time-brandes
BA,10,4,0,delete,0,9.2e-5,5.7e-5
BA,10,4,0,delete,0,9.2e-5,6e-5
BA,10,4,0,delete,0,9.3e-5,5.8e-5
BA,10,4,0,delete,0,9.3e-5,5.8e-5
BA,10,4,0,delete,0,9.8e-5,6.1e-5
BA,10,4,0,delete,0,9.9e-5,6.3e-5
BA,10,4,0,delete,0,1.01e-4,6.1e-5
BA,10,4,0,delete,0,1.17e-4,6.6e-5
BA,10,4,0,delete,0,1.18e-4,6.4e-5
BA,10,4,0,delete,0,1.42e-4,6.5e-5
BA,10,4,0,insert,0,5.7e-5,6.4e-5
BA,10,4,0,insert,0,5.7e-5,6.8e-5
BA,10,4,0,insert,0,5.7e-5,6.9e-5
BA,10,4,0,insert,0,5.8e-5,6.8e-5
BA,10,4,0,insert,0,5.9e-5,6.4e-5
BA,10,4,0,insert,0,5.9e-5,6.4e-5
BA,10,4,0,insert,0,6e-5,6.5e-5
BA,10,4,0,insert,0,6e-5,8.6e-5
BA,10,4,0,insert,0,6.2e-5,6.9e-5
BA,10,4,0,insert,0,7.5e-5,6.8e-5
BA,10,4,1,delete,0,4.8e-5,5.6e-5
BA,10,4,1,delete,0,4.8e-5,5.8e-5
BA,10,4,1,delete,0,4.8e-5,5.8e-5
BA,10,4,1,delete,0,4.9e-5,5.9e-5
BA,10,4,1,delete,0,5.1e-5,5.9e-5
BA,10,4,1,delete,0,5.1e-5,6.3e-5
BA,10,4,1,delete,0,5.3e-5,6.1e-5
BA,10,4,1,delete,0,5.7e-5,6.2e-5
BA,10,4,1,delete,0,5.7e-5,6.8e-5
BA,10,4,1,delete,0,9.2e-5,5.9e-5
BA,10,4,1,insert,0,1.2e-5,6.5e-5
BA,10,4,1,insert,0,1.2e-5,6.6e-5
BA,10,4,1,insert,0,1.2e-5,6.6e-5
BA,10,4,1,insert,0,1.2e-5,6.8e-5
BA,10,4,1,insert,0,1.3e-5,6.6e-5
BA,10,4,1,insert,0,1.3e-5,6.6e-5
BA,10,4,1,insert,0,1.3e-5,6.6e-5
BA,10,4,1,insert,0,1.3e-5,7e-5
BA,10,4,1,insert,0,1.4e-5,6.8e-5
BA,10,4,1,insert,0,1.4e-5,6.9e-5
BA,10,4,2,delete,0,3.6e-5,6e-5
BA,10,4,2,delete,0,3.6e-5,7.3e-5
BA,10,4,2,delete,0,3.7e-5,7.6e-5
BA,10,4,2,delete,0,3.8e-5,6e-5
BA,10,4,2,delete,0,3.9e-5,5.8e-5
BA,10,4,2,delete,0,3.9e-5,6.4e-5
BA,10,4,2,delete,0,4e-5,6.3e-5
BA,10,4,2,delete,0,4e-5,6.5e-5
BA,10,4,2,delete,0,4e-5,9e-5
BA,10,4,2,delete,0,4.1e-5,6.2e-5
BA,10,4,2,insert,0,4.7e-5,6.3e-5
BA,10,4,2,insert,0,5.1e-5,6.4e-5
BA,10,4,2,insert,0,5.1e-5,6.4e-5
BA,10,4,2,insert,0,5.1e-5,6.7e-5
BA,10,4,2,insert,0,5.1e-5,6.8e-5
BA,10,4,2,insert,0,5.1e-5,6.9e-5
BA,10,4,2,insert,0,5.2e-5,6.5e-5
BA,10,4,2,insert,0,5.2e-5,6.8e-5
BA,10,4,2,insert,0,5.2e-5,6.9e-5
BA,10,4,2,insert,0,5.4e-5,7.1e-5
BA,10,4,3,delete,0,7.6e-5,5.9e-5
BA,10,4,3,delete,0,7.7e-5,5.8e-5
BA,10,4,3,delete,0,7.7e-5,5.8e-5
BA,10,4,3,delete,0,7.7e-5,6e-5
BA,10,4,3,delete,0,8.2e-5,7.9e-5
BA,10,4,3,delete,0,8.3e-5,6.5e-5
BA,10,4,3,delete,0,8.5e-5,8e-5
BA,10,4,3,delete,0,8.9e-5,5.8e-5
BA,10,4,3,delete,0,9.4e-5,6.1e-5
BA,10,4,3,delete,0,1.03e-4,7.5e-5
BA,10,4,3,insert,0,4.5e-5,6.3e-5
BA,10,4,3,insert,0,4.7e-5,8.3e-5
BA,10,4,3,insert,0,4.8e-5,6.3e-5
BA,10,4,3,insert,0,4.8e-5,6.7e-5
BA,10,4,3,insert,0,4.9e-5,6.5e-5
BA,10,4,3,insert,0,4.9e-5,6.6e-5
BA,10,4,3,insert,0,4.9e-5,6.7e-5
BA,10,4,3,insert,0,4.9e-5,7e-5
BA,10,4,3,insert,0,5e-5,6.8e-5
BA,10,4,3,insert,0,5.7e-5,7.3e-5
BA,10,4,4,delete,0,1.3e-5,5.8e-5
BA,10,4,4,delete,0,1.4e-5,5.8e-5
BA,10,4,4,delete,0,1.4e-5,6.3e-5
BA,10,4,4,delete,0,1.4e-5,6.3e-5
