name,n,k,mode,seed,err,time-proposed,time-brandes
ca-HepPh,12008,19,insert,0,4.656613e-10,3.086459e+00,1.518297e+02
ca-HepPh,12008,19,delete,0,1.164153e-10,1.391600e-02,1.502179e+02
ca-HepPh,12008,19,insert,1,3.492460e-10,5.441291e+00,1.485387e+02
ca-HepPh,12008,19,delete,1,4.656613e-10,5.546484e+00,1.492872e+02
ca-HepPh,12008,19,insert,2,3.492460e-10,3.319754e+00,1.560139e+02
ca-HepPh,12008,19,delete,2,4.947651e-10,4.728891e+00,1.501669e+02
ca-HepPh,12008,19,insert,3,1.862645e-09,2.624741e+00,1.489134e+02
ca-HepPh,12008,19,delete,3,4.656613e-10,5.079595e+00,1.494979e+02
ca-HepPh,12008,19,insert,4,4.656613e-10,3.183368e+00,1.676515e+02
ca-HepPh,12008,19,delete,4,1.164153e-10,1.386600e-02,1.472791e+02
ca-HepPh,12008,19,insert,5,9.313226e-10,1.516085e+01,1.495035e+02
ca-HepPh,12008,19,delete,5,2.328306e-10,4.169470e+00,1.514265e+02
ca-HepPh,12008,19,insert,6,1.222361e-09,3.872610e+00,1.520930e+02
ca-HepPh,12008,19,delete,6,1.164153e-10,1.706300e-02,1.547094e+02
ca-HepPh,12008,19,insert,7,2.793968e-09,7.257836e+00,1.488574e+02
ca-HepPh,12008,19,delete,7,2.328306e-10,2.052930e+00,1.505469e+02
ca-HepPh,12008,19,insert,8,5.529728e-10,4.732836e+00,1.499333e+02
ca-HepPh,12008,19,delete,8,5.820766e-10,3.186128e+00,1.503920e+02
ca-HepPh,12008,19,insert,9,5.122274e-09,4.865083e+00,1.546182e+02
ca-HepPh,12008,19,delete,9,1.891749e-10,2.638589e+00,1.508509e+02
ca-HepPh,12008,19,insert,10,6.984919e-10,3.797815e+00,1.756294e+02
ca-HepPh,12008,19,delete,10,2.328306e-10,2.085069e+00,1.501499e+02
ca-HepPh,12008,19,insert,11,6.984919e-10,4.961971e+00,1.514582e+02
ca-HepPh,12008,19,delete,11,2.910383e-10,5.408116e+00,1.494027e+02
ca-HepPh,12008,19,insert,12,3.201421e-10,7.147296e+00,1.511099e+02
ca-HepPh,12008,19,delete,12,4.656613e-10,3.890139e+00,1.497542e+02
ca-HepPh,12008,19,insert,13,5.820766e-10,2.767970e+00,1.530783e+02
ca-HepPh,12008,19,delete,13,1.164153e-10,1.353400e-02,1.492483e+02
ca-HepPh,12008,19,insert,14,4.656613e-10,3.353285e+00,1.524832e+02
ca-HepPh,12008,19,delete,14,3.201421e-10,3.805686e+00,1.489109e+02
