gml,vert1,vert2,weight,query,seed,max-bc,max-error,time-proposed,time-brandes,updated-path-pairs,updated-deps-pairs,updated-bc-verts,changed-bc-verts
data/road/road-oka-integer-distance.gml,597664240,2498104011,22,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.344823e+00,2.235197e+02,42254,241822,1919,11497
data/road/road-oka-integer-distance.gml,597664240,2496997317,19,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.047123e+00,2.250948e+02,5494,88887,1252,11497
data/road/road-oka-integer-distance.gml,597664240,2496997309,16,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,2.192278e+00,2.249331e+02,84846,636763,3763,11497
data/road/road-oka-integer-distance.gml,2496997309,2496997308,17,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.085544e+00,2.247294e+02,14702,99694,1049,11497
data/road/road-oka-integer-distance.gml,2496997309,2496997303,23,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.480860e+00,2.245572e+02,147552,1390945,8387,11497
data/road/road-oka-integer-distance.gml,2496997309,2496997318,17,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,2.454837e+00,2.258851e+02,80020,859533,5075,11497
data/road/road-oka-integer-distance.gml,2496997309,2496997305,17,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.251382e+00,2.269325e+02,12900,207538,2007,11497
data/road/road-oka-integer-distance.gml,597664240,4106928213,21,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.091947e+00,2.327022e+02,71540,1098368,6795,11497
data/road/road-oka-integer-distance.gml,2496997317,1922997048,14,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,4.138586e+00,2.253518e+02,135756,1785537,11144,11498
data/road/road-oka-integer-distance.gml,2496997317,1922997491,99,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.267380e+00,2.254601e+02,24628,195274,2071,11497
data/road/road-oka-integer-distance.gml,4106928213,2496997301,18,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,8.820790e-01,2.261407e+02,1480,5168,174,11497
data/road/road-oka-integer-distance.gml,2498104011,1922997491,99,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.527550e+00,2.257024e+02,280762,1299679,7878,11497
data/road/road-oka-integer-distance.gml,2498104011,2496997321,17,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.805460e+00,2.251921e+02,363876,1333885,9107,11497
data/road/road-oka-integer-distance.gml,2498104011,2498104026,93,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,8.958130e-01,2.270346e+02,1554,2729,124,11497
data/road/road-oka-integer-distance.gml,2498104011,2496997318,23,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,2.196776e+00,2.256290e+02,195410,508472,3624,11497
data/road/road-oka-integer-distance.gml,4106928213,2496997303,25,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,8.790930e-01,2.344931e+02,312,178,20,11497
data/road/road-oka-integer-distance.gml,597664243,2496997312,42,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,2.682118e+00,2.247172e+02,135652,912564,5438,11497
data/road/road-oka-integer-distance.gml,2496997312,1851168767,35,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.151992e+00,2.250947e+02,34712,121823,1390,11497
data/road/road-oka-integer-distance.gml,2496997312,2496997304,23,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.125132e+00,2.239852e+02,172512,1113173,6467,11497
data/road/road-oka-integer-distance.gml,2496997312,2496997313,17,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.740673e+00,2.253799e+02,67096,422739,2593,11497
data/road/road-oka-integer-distance.gml,597664248,2496997393,92,insert,0,1.6071043348454606e-01,6.9388939039072284e-18,2.077768e+00,2.254233e+02,58132,651708,5416,11497
data/road/road-oka-integer-distance.gml,2496997312,2496997305,18,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.723768e+00,2.259598e+02,50978,410635,3400,11497
data/road/road-oka-integer-distance.gml,597664248,2496997402,21,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.493062e+00,2.336524e+02,60116,242418,2467,11497
data/road/road-oka-integer-distance.gml,597664248,2496997434,58,insert,0,1.6077343889752163e-01,6.9388939039072284e-18,3.565416e+00,2.258608e+02,153314,1455099,7939,11497
data/road/road-oka-integer-distance.gml,2496997393,2496997381,80,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,1.799194e+00,2.244116e+02,157182,328685,1945,11497
